 #.record         time (fs)       #.carrier/u.c.    mean velocity parallel to ext. field
       29         2900.0000   1.8642024319656160E-06  -3.7504413464426184E+06
       30         3000.0000   1.8642024319656162E-06  -4.1706249811509284E+06
       31         3100.0000   1.8642024319656160E-06  -4.5919522428984027E+06
       32         3200.0000   1.8642024319656162E-06  -5.0145394731776733E+06
       33         3300.0000   1.8642024319656162E-06  -5.4385015243581636E+06
       34         3400.0000   1.8642024319656158E-06  -5.8639516859132908E+06
       35         3500.0000   1.8642024319656158E-06  -6.2910015785258552E+06
       36         3600.0000   1.8642024319656160E-06  -6.7197610266943416E+06
       37         3700.0000   1.8642024319656164E-06  -7.1503379160674345E+06
       38         3800.0000   1.8642024319656160E-06  -7.5828380391988810E+06
       39         3900.0000   1.8642024319656162E-06  -8.0173649319551932E+06
       40         4000.0000   1.8642024319656164E-06  -8.4540197019751221E+06
       41         4100.0000   1.8642024319656164E-06  -9.3341555425345134E+06
       42         4200.0000   1.8642024319656168E-06  -1.0223579447442999E+07
       43         4300.0000   1.8642024319656168E-06  -1.1123116652881078E+07
       44         4400.0000   1.8642024319656160E-06  -1.2033479687652534E+07
       45         4500.0000   1.8642024319656168E-06  -1.2955295206436062E+07
       46         4600.0000   1.8642024319656168E-06  -1.3889108413711756E+07
       47         4700.0000   1.8642024319656168E-06  -1.4835381383932611E+07
       48         4800.0000   1.8642024319656162E-06  -1.5794488934380399E+07
       49         4900.0000   1.8642024319656162E-06  -1.6766713467846775E+07
       50         5000.0000   1.8642024319656168E-06  -1.7752239537196968E+07
       51         5100.0000   1.8642024319656160E-06  -1.8751148617054351E+07
       52         5200.0000   1.8642024319656168E-06  -1.9763414441993680E+07
       53         5300.0000   1.8642024319656164E-06  -2.0788899205167808E+07
       54         5400.0000   1.8642024319656164E-06  -2.1827350872625612E+07
       55         5500.0000   1.8642024319656168E-06  -2.2878401840250589E+07
       56         5600.0000   1.8642024319656162E-06  -2.3941569133573029E+07
       57         5700.0000   1.8642024319656168E-06  -2.5016256321034253E+07
       58         5800.0000   1.8642024319656164E-06  -2.6101757276292741E+07
       59         5900.0000   1.8642024319656168E-06  -2.7197261884043425E+07
       60         6000.0000   1.8642024319656164E-06  -2.8301863736839991E+07
       61         6100.0000   1.8642024319656158E-06  -2.9973988241401665E+07
       62         6200.0000   1.8642024319656168E-06  -3.1660276667127177E+07
       63         6300.0000   1.8642024319656158E-06  -3.3357130934976429E+07
       64         6400.0000   1.8642024319656164E-06  -3.5060604034775659E+07
       65         6500.0000   1.8642024319656172E-06  -3.6766635182182170E+07
       66         6600.0000   1.8642024319656164E-06  -3.8471229205559961E+07
       67         6700.0000   1.8642024319656168E-06  -4.0170618865698434E+07
       68         6800.0000   1.8642024319656164E-06  -4.1861416547165103E+07
