 # time (fs)    drift velocity (cm/s)    drift acceleration (cm/s2)
        1180.0000  -7.3397800155920293E+06  -3.0924641056398859E+03
        1190.0000  -7.3703545782711999E+06  -3.0574562679170631E+03
        1200.0000  -7.4005823837685352E+06  -3.0227805497335271E+03
        1210.0000  -7.4304667220395124E+06  -2.9884338270977141E+03
        1220.0000  -7.4600108521344215E+06  -2.9544130094909110E+03
        1230.0000  -7.4892180025287559E+06  -2.9207150394334458E+03
        1240.0000  -7.5180913714500433E+06  -2.8873368921287356E+03
        1250.0000  -7.5466341272006631E+06  -2.8542755750619808E+03
        1260.0000  -7.5748494084770214E+06  -2.8215281276358292E+03
        1270.0000  -7.6027403246850474E+06  -2.7890916208026001E+03
        1280.0000  -7.6303099562521921E+06  -2.7569631567144766E+03
        1290.0000  -7.6575613549357820E+06  -2.7251398683589882E+03
        1300.0000  -7.6844975441280408E+06  -2.6936189192258753E+03
        1310.0000  -7.7111215191576965E+06  -2.6623975029655730E+03
        1320.0000  -7.7374362475882769E+06  -2.6314728430580349E+03
        1330.0000  -7.7634446695130207E+06  -2.6008421924743802E+03
        1340.0000  -7.7891496978467479E+06  -2.5705028333727269E+03
        1350.0000  -7.8145542186143612E+06  -2.5404520767613312E+03
        1360.0000  -7.8396610912364088E+06  -2.5106872622047549E+03
        1370.0000  -7.8644731488113124E+06  -2.4812057574903592E+03
        1380.0000  -7.8889931983947372E+06  -2.4520049583424816E+03
        1390.0000  -7.9132240212759553E+06  -2.4230822881218046E+03
        1400.0000  -7.9371683732510433E+06  -2.3944351975088007E+03
        1410.0000  -7.9608289848932652E+06  -2.3660611642221920E+03
        1420.0000  -7.9842085618205527E+06  -2.3379576927287503E+03
        1430.0000  -8.0073097849601386E+06  -2.3101223139585927E+03
        1440.0000  -8.0301353108100640E+06  -2.2825525849925352E+03
        1450.0000  -8.0526877716983352E+06  -2.2552460888271221E+03
        1460.0000  -8.0749697760388004E+06  -2.2282004340465182E+03
        1470.0000  -8.0969839085846236E+06  -2.2014132545823231E+03
        1480.0000  -8.1187327306787511E+06  -2.1748822094127536E+03
        1490.0000  -8.1402187805018993E+06  -2.1486049823148178E+03
        1500.0000  -8.1614445733175464E+06  -2.1225792815647087E+03
        1510.0000  -8.1824126017145785E+06  -2.0968028397032058E+03
        1520.0000  -8.2031253358470974E+06  -2.0712734132518990E+03
        1530.0000  -8.2235852236715816E+06  -2.0459887824484147E+03
        1540.0000  -8.2437946911815833E+06  -2.0209467510001734E+03
        1550.0000  -8.2637561426396668E+06  -1.9961451458083466E+03
